riotIdGameName,role,round,kills,deaths,assists,KDA
Team_01,ADC,Round_01,8,2,3,5.5
Team_01,ADC,Round_02,6,3,7,4.33
Team_01,ADC,Round_03,9,4,7,4.0
Team_01,ADC,Round_04,9,2,13,11.0
Team_01,ADC,Round_05,4,4,9,3.25
Team_01,ADC,Round_06,6,5,14,4.0
Team_01,ADC,Round_07,6,5,7,2.6
Team_01,ADC,Round_08,17,2,14,15.5
Team_01,ADC,Round_09,6,2,19,12.5
Team_01,SUP,Round_01,0,5,9,1.8
Team_01,SUP,Round_02,1,5,11,2.4
Team_01,SUP,Round_03,1,2,17,9.0
Team_01,SUP,Round_04,1,5,20,4.2
Team_01,SUP,Round_05,1,8,11,1.5
Team_01,SUP,Round_06,1,9,22,2.56
Team_01,SUP,Round_07,1,11,9,0.91
Team_01,SUP,Round_08,0,1,32,32.0
Team_01,SUP,Round_09,1,7,25,3.71
Team_01,MID,Round_01,2,1,12,14.0
Team_01,MID,Round_02,6,3,6,4.0
Team_01,MID,Round_03,3,4,13,4.0
Team_01,MID,Round_04,8,4,15,5.75
Team_01,MID,Round_05,5,3,8,4.33
Team_01,MID,Round_06,14,6,12,4.33
Team_01,MID,Round_07,7,7,7,2.0
Team_01,MID,Round_08,6,1,18,24.0
Team_01,MID,Round_09,8,8,14,2.75
Team_01,JGL,Round_01,5,5,7,2.4
Team_01,JGL,Round_02,0,3,10,3.33
Team_01,JGL,Round_03,2,4,14,4.0
Team_01,JGL,Round_04,9,5,16,5.0
Team_01,JGL,Round_05,6,2,8,7.0
Team_01,JGL,Round_06,6,7,17,3.29
Team_01,JGL,Round_07,2,8,8,1.25
Team_01,JGL,Round_08,9,3,24,11.0
Team_01,JGL,Round_09,7,5,18,5.0
Team_01,TOP,Round_01,0,2,8,4.0
Team_01,TOP,Round_02,3,5,3,1.2
Team_01,TOP,Round_03,6,5,7,2.6
Team_01,TOP,Round_04,5,5,7,2.4
Team_01,TOP,Round_05,3,4,3,1.5
Team_01,TOP,Round_06,5,10,10,1.5
Team_01,TOP,Round_07,0,9,5,0.56
Team_01,TOP,Round_08,6,4,10,4.0
Team_01,TOP,Round_09,7,8,8,1.88
Team_02,MID,Round_01,9,4,7,4.0
Team_02,MID,Round_02,1,3,15,5.33
Team_02,MID,Round_03,10,3,18,9.33
Team_02,MID,Round_04,3,5,7,2.0
Team_02,MID,Round_05,2,6,4,1.0
Team_02,MID,Round_06,2,4,2,1.0
Team_02,MID,Round_07,2,4,11,3.25
Team_02,MID,Round_08,15,3,8,7.67
Team_02,MID,Round_09,10,2,12,11.0
Team_02,TOP,Round_01,8,5,11,3.8
Team_02,TOP,Round_02,8,2,7,7.5
Team_02,TOP,Round_03,11,5,14,5.0
Team_02,TOP,Round_04,1,5,2,0.6
Team_02,TOP,Round_05,2,3,3,1.67
Team_02,TOP,Round_06,1,4,2,0.75
Team_02,TOP,Round_07,5,8,6,1.38
Team_02,TOP,Round_08,2,1,12,14.0
Team_02,TOP,Round_09,7,9,13,2.22
Team_02,JGL,Round_01,4,4,15,4.75
Team_02,JGL,Round_02,1,2,16,8.5
Team_02,JGL,Round_03,8,4,26,8.5
Team_02,JGL,Round_04,2,8,8,1.25
Team_02,JGL,Round_05,1,9,11,1.33
Team_02,JGL,Round_06,1,7,2,0.43
Team_02,JGL,Round_07,5,5,7,2.4
Team_02,JGL,Round_08,5,6,15,3.33
Team_02,JGL,Round_09,4,7,19,3.29
Team_02,ADC,Round_01,10,1,8,18.0
Team_02,ADC,Round_02,9,2,3,6.0
Team_02,ADC,Round_03,17,2,15,16.0
Team_02,ADC,Round_04,7,7,3,1.43
Team_02,ADC,Round_05,6,5,1,1.4
Team_02,ADC,Round_06,4,7,1,0.71
Team_02,ADC,Round_07,7,5,9,3.2
Team_02,ADC,Round_08,7,6,14,3.5
Team_02,ADC,Round_09,9,5,11,4.0
Team_02,SUP,Round_01,0,6,21,3.5
Team_02,SUP,Round_02,1,3,15,5.33
Team_02,SUP,Round_03,1,5,37,7.6
Team_02,SUP,Round_04,0,8,10,1.25
Team_02,SUP,Round_05,1,6,9,1.67
Team_02,SUP,Round_06,0,7,5,0.71
Team_02,SUP,Round_07,0,4,12,3.0
Team_02,SUP,Round_08,1,4,24,6.25
Team_02,SUP,Round_09,2,2,25,13.5
Team_03,SUP,Round_01,1,5,16,3.4
Team_03,SUP,Round_02,3,6,27,5.0
Team_03,SUP,Round_03,0,8,3,0.38
Team_03,SUP,Round_04,1,9,17,2.0
Team_03,SUP,Round_05,3,10,21,2.4
Team_03,SUP,Round_06,0,9,14,1.56
Team_03,SUP,Round_07,1,7,15,2.29
Team_03,SUP,Round_08,0,6,16,2.67
Team_03,SUP,Round_09,0,10,6,0.6
Team_03,MID,Round_01,5,4,13,4.5
Team_03,MID,Round_02,9,4,18,6.75
Team_03,MID,Round_03,1,4,2,0.75
Team_03,MID,Round_04,11,4,4,3.75
Team_03,MID,Round_05,7,5,15,4.4
Team_03,MID,Round_06,5,7,8,1.86
Team_03,MID,Round_07,9,4,12,5.25
Team_03,MID,Round_08,5,1,13,18.0
Team_03,MID,Round_09,2,8,3,0.62
Team_03,ADC,Round_01,12,2,6,9.0
Team_03,ADC,Round_02,12,8,18,3.75
Team_03,ADC,Round_03,1,3,1,0.67
Team_03,ADC,Round_04,4,3,13,5.67
Team_03,ADC,Round_05,13,3,11,8.0
Team_03,ADC,Round_06,3,10,10,1.3
Team_03,ADC,Round_07,10,3,12,7.33
Team_03,ADC,Round_08,5,6,12,2.83
Team_03,ADC,Round_09,5,5,3,1.6
Team_03,JGL,Round_01,1,3,18,6.33
Team_03,JGL,Round_02,10,7,22,4.57
Team_03,JGL,Round_03,2,4,3,1.25
Team_03,JGL,Round_04,3,5,5,1.6
Team_03,JGL,Round_05,7,7,14,3.0
Team_03,JGL,Round_06,6,13,13,1.46
Team_03,JGL,Round_07,4,3,16,6.67
Team_03,JGL,Round_08,6,6,14,3.33
Team_03,JGL,Round_09,0,12,7,0.58
Team_03,TOP,Round_01,5,3,8,4.33
Team_03,TOP,Round_02,6,8,6,1.5
Team_03,TOP,Round_03,1,5,1,0.4
Team_03,TOP,Round_04,5,6,12,2.83
Team_03,TOP,Round_05,0,9,8,0.89
Team_03,TOP,Round_06,8,7,8,2.29
Team_03,TOP,Round_07,11,7,6,2.43
Team_03,TOP,Round_08,8,6,8,2.67
Team_03,TOP,Round_09,4,11,1,0.45
Team_04,TOP,Round_01,12,7,7,2.71
Team_04,TOP,Round_02,3,5,1,0.8
Team_04,TOP,Round_03,3,5,6,1.8
Team_04,SUP,Round_01,0,6,23,3.83
Team_04,SUP,Round_02,0,2,4,2.0
Team_04,SUP,Round_03,2,2,8,5.0
Team_04,SUP,Round_04,3,9,13,1.78
Team_04,SUP,Round_05,1,4,31,8.0
Team_04,SUP,Round_06,0,8,29,3.62
Team_04,SUP,Round_07,3,10,19,2.2
Team_04,SUP,Round_08,2,5,20,4.4
Team_04,SUP,Round_09,1,8,5,0.75
Team_04,MID,Round_01,11,4,11,5.5
Team_04,MID,Round_02,2,8,2,0.5
Team_04,MID,Round_03,7,1,5,12.0
Team_04,MID,Round_04,3,5,14,3.4
Team_04,MID,Round_05,16,2,13,14.5
Team_04,MID,Round_06,12,7,21,4.71
Team_04,MID,Round_07,13,4,15,7.0
Team_04,MID,Round_08,12,5,9,4.2
Team_04,MID,Round_09,3,10,5,0.8
Team_04,TOP,Round_04,6,5,10,3.2
Team_04,TOP,Round_05,3,2,18,10.5
Team_04,TOP,Round_06,12,4,16,7.0
Team_04,TOP,Round_07,7,4,13,5.0
Team_04,TOP,Round_08,3,5,7,2.0
Team_04,TOP,Round_09,5,8,2,0.88
Team_04,JGL,Round_01,1,6,18,3.17
Team_04,JGL,Round_02,0,4,3,0.75
Team_04,ADC,Round_01,4,5,15,3.8
Team_04,ADC,Round_02,1,3,0,0.33
Team_04,ADC,Round_03,3,3,11,4.67
Team_04,ADC,Round_04,11,4,9,5.0
Team_04,ADC,Round_05,12,4,15,6.75
Team_04,ADC,Round_06,15,2,17,16.0
Team_04,ADC,Round_07,3,3,21,8.0
Team_04,ADC,Round_08,6,3,13,6.33
Team_04,ADC,Round_09,2,3,5,2.33
Team_04,JGL,Round_03,1,5,10,2.2
Team_04,JGL,Round_04,1,11,11,1.09
Team_04,JGL,Round_05,9,2,19,14.0
Team_04,JGL,Round_06,6,6,23,4.83
Team_04,JGL,Round_07,9,2,13,11.0
Team_04,JGL,Round_08,8,5,16,4.8
Team_04,JGL,Round_09,3,5,4,1.4
Team_05,SUP,Round_01,1,6,12,2.17
Team_05,SUP,Round_02,0,9,11,1.22
Team_05,SUP,Round_03,0,12,11,0.92
Team_05,SUP,Round_04,1,7,9,1.43
Team_05,SUP,Round_05,3,9,21,2.67
Team_05,SUP,Round_06,0,6,30,5.0
Team_05,SUP,Round_07,2,10,6,0.8
Team_05,SUP,Round_08,4,13,1,0.38
Team_05,SUP,Round_09,3,10,7,1.0
Team_05,JGL,Round_01,5,6,10,2.5
Team_05,JGL,Round_02,2,8,12,1.75
Team_05,JGL,Round_03,4,9,9,1.44
Team_05,ADC,Round_04,4,12,6,0.83
Team_05,ADC,Round_05,8,9,7,1.67
Team_05,ADC,Round_06,14,9,11,2.78
Team_05,ADC,Round_07,1,9,3,0.44
Team_05,ADC,Round_08,1,14,3,0.29
Team_05,ADC,Round_09,5,12,5,0.83
Team_05,JGL,Round_04,2,6,6,1.33
Team_05,JGL,Round_05,1,7,19,2.86
Team_05,JGL,Round_06,4,9,13,1.89
Team_05,JGL,Round_07,3,6,9,2.0
Team_05,JGL,Round_08,0,6,4,0.67
Team_05,JGL,Round_09,2,8,12,1.75
Team_05,TOP,Round_01,2,8,6,1.0
Team_05,TOP,Round_02,0,9,6,0.67
Team_05,TOP,Round_03,3,12,4,0.58
Team_05,TOP,Round_04,1,17,9,0.59
Team_05,TOP,Round_05,6,7,3,1.29
Team_05,TOP,Round_06,9,8,12,2.62
Team_05,TOP,Round_07,3,4,5,2.0
Team_05,TOP,Round_08,0,6,3,0.5
Team_05,TOP,Round_09,7,12,5,1.0
Team_05,MID,Round_01,7,3,9,5.33
Team_05,MID,Round_02,9,3,6,5.0
Team_05,MID,Round_03,6,2,7,6.5
Team_05,MID,Round_04,6,5,3,1.8
Team_05,MID,Round_05,9,4,12,5.25
Team_05,MID,Round_06,9,4,17,6.5
Team_05,MID,Round_07,5,3,6,3.67
Team_05,MID,Round_08,2,4,0,0.5
Team_05,MID,Round_09,6,5,9,3.0
Team_05,ADC,Round_01,5,4,6,2.75
Team_05,ADC,Round_02,6,9,6,1.33
Team_05,ADC,Round_03,4,8,6,1.25
Team_06,JGL,Round_01,5,7,24,4.14
Team_06,JGL,Round_02,7,7,21,4.0
Team_06,JGL,Round_03,3,7,18,3.0
Team_06,JGL,Round_04,5,7,15,2.86
Team_06,JGL,Round_05,2,7,12,2.0
Team_06,JGL,Round_06,5,9,13,2.0
Team_06,JGL,Round_07,6,11,8,1.27
Team_06,JGL,Round_08,3,9,11,1.56
Team_06,JGL,Round_09,7,13,10,1.31
Team_06,SUP,Round_01,1,7,30,4.43
Team_06,SUP,Round_02,3,7,21,3.43
Team_06,SUP,Round_03,3,3,13,5.33
Team_06,SUP,Round_04,2,5,20,4.4
Team_06,SUP,Round_05,2,6,9,1.83
Team_06,SUP,Round_06,4,7,19,3.29
Team_06,SUP,Round_07,0,7,16,2.29
Team_06,SUP,Round_08,3,7,13,2.29
Team_06,SUP,Round_09,3,13,14,1.31
Team_06,TOP,Round_01,9,11,11,1.82
Team_06,TOP,Round_02,3,12,17,1.67
Team_06,TOP,Round_03,4,5,6,2.0
Team_06,TOP,Round_04,4,2,16,10.0
Team_06,TOP,Round_05,5,4,10,3.75
Team_06,TOP,Round_06,5,13,6,0.85
Team_06,TOP,Round_07,6,11,5,1.0
Team_06,TOP,Round_08,5,9,5,1.11
Team_06,TOP,Round_09,4,10,15,1.9
Team_06,ADC,Round_01,14,4,13,6.75
Team_06,ADC,Round_02,21,5,12,6.6
Team_06,ADC,Round_03,11,0,8,19.0
Team_06,ADC,Round_04,11,1,13,24.0
Team_06,ADC,Round_05,6,4,10,4.0
Team_06,ADC,Round_06,10,5,8,3.6
Team_06,ADC,Round_07,6,5,9,3.0
Team_06,ADC,Round_08,4,6,6,1.67
Team_06,ADC,Round_09,8,6,9,2.83
Team_06,MID,Round_01,7,2,18,12.5
Team_06,MID,Round_02,4,4,21,6.25
Team_06,MID,Round_03,3,2,8,5.5
Team_06,MID,Round_04,10,1,14,24.0
Team_06,MID,Round_05,4,2,11,7.5
Team_06,MID,Round_06,6,4,13,4.75
Team_06,MID,Round_07,3,6,7,1.67
Team_06,MID,Round_08,9,2,5,7.0
Team_06,MID,Round_09,6,9,9,1.67
Team_07,MID,Round_01,3,4,10,3.25
Team_07,MID,Round_02,1,4,8,2.25
Team_07,MID,Round_03,5,4,7,3.0
Team_07,MID,Round_04,12,3,10,7.33
Team_07,MID,Round_05,5,7,8,1.86
Team_07,MID,Round_06,7,4,9,4.0
Team_07,MID,Round_07,9,3,10,6.33
Team_07,MID,Round_08,5,6,4,1.5
Team_07,MID,Round_09,12,7,7,2.71
Team_07,SUP,Round_01,1,6,8,1.5
Team_07,SUP,Round_02,0,7,8,1.14
Team_07,SUP,Round_03,2,6,6,1.33
Team_07,SUP,Round_04,2,4,23,6.25
Team_07,SUP,Round_05,5,12,8,1.08
Team_07,SUP,Round_06,2,13,17,1.46
Team_07,SUP,Round_07,0,7,20,2.86
Team_07,SUP,Round_08,0,13,9,0.69
Team_07,SUP,Round_09,2,4,19,5.25
Team_07,JGL,Round_01,2,9,6,0.89
Team_07,JGL,Round_02,4,7,4,1.14
Team_07,JGL,Round_03,2,6,7,1.5
Team_07,JGL,Round_04,0,6,24,4.0
Team_07,JGL,Round_05,2,7,14,2.29
Team_07,JGL,Round_06,7,6,10,2.83
Team_07,JGL,Round_07,9,5,16,5.0
Team_07,JGL,Round_08,4,7,12,2.29
Team_07,JGL,Round_09,6,4,17,5.75
Team_07,TOP,Round_01,4,4,5,2.25
Team_07,TOP,Round_02,2,5,4,1.2
Team_07,TOP,Round_03,5,6,5,1.67
Team_07,TOP,Round_04,9,8,11,2.5
Team_07,TOP,Round_05,5,7,6,1.57
Team_07,TOP,Round_06,2,6,6,1.33
Team_07,TOP,Round_07,4,5,14,3.6
Team_07,TOP,Round_08,4,8,6,1.25
Team_07,TOP,Round_09,5,3,9,4.67
Team_07,ADC,Round_01,4,3,4,2.67
Team_07,ADC,Round_02,2,6,3,0.83
Team_07,ADC,Round_03,3,3,6,3.0
Team_07,ADC,Round_04,8,4,10,4.5
Team_07,ADC,Round_05,4,5,9,2.6
Team_07,ADC,Round_06,3,6,11,2.33
Team_07,ADC,Round_07,7,5,9,3.2
Team_07,ADC,Round_08,4,5,7,2.2
Team_07,ADC,Round_09,6,4,15,5.25
Team_08,JGL,Round_01,8,5,20,5.6
Team_08,JGL,Round_02,5,3,17,7.33
Team_08,JGL,Round_03,4,6,25,4.83
Team_08,JGL,Round_04,7,2,20,13.5
Team_08,JGL,Round_05,8,3,18,8.67
Team_08,JGL,Round_06,5,5,12,3.4
Team_08,JGL,Round_07,5,7,28,4.71
Team_08,JGL,Round_08,4,6,7,1.83
Team_08,JGL,Round_09,1,2,32,16.5
Team_08,SUP,Round_01,7,9,21,3.11
Team_08,SUP,Round_02,1,3,22,7.67
Team_08,SUP,Round_03,1,5,30,6.2
Team_08,SUP,Round_04,0,3,33,11.0
Team_08,SUP,Round_05,0,2,25,12.5
Team_08,SUP,Round_06,3,3,20,7.67
Team_08,SUP,Round_07,0,8,33,4.12
Team_08,SUP,Round_08,0,12,10,0.83
Team_08,SUP,Round_09,4,3,39,14.33
Team_08,ADC,Round_01,9,6,15,4.0
Team_08,ADC,Round_02,3,5,17,4.0
Team_08,ADC,Round_03,19,1,13,32.0
Team_08,ADC,Round_04,20,2,8,14.0
Team_08,ADC,Round_05,11,1,12,23.0
Team_08,ADC,Round_06,9,3,8,5.67
Team_08,ADC,Round_07,16,6,22,6.33
Team_08,ADC,Round_08,3,7,4,1.0
Team_08,ADC,Round_09,17,1,22,39.0
Team_08,TOP,Round_01,6,3,12,6.0
Team_08,TOP,Round_02,13,5,6,3.8
Team_08,TOP,Round_03,10,4,23,8.25
Team_08,TOP,Round_04,6,2,25,15.5
Team_08,TOP,Round_05,6,3,11,5.67
Team_08,TOP,Round_06,2,3,10,4.0
Team_08,TOP,Round_07,12,5,12,4.8
Team_08,TOP,Round_08,1,8,6,0.88
Team_08,TOP,Round_09,13,1,22,35.0
Team_08,MID,Round_01,4,9,19,2.56
Team_08,MID,Round_02,4,2,15,9.5
Team_08,MID,Round_03,6,4,19,6.25
Team_08,MID,Round_04,8,3,21,9.67
Team_08,MID,Round_05,7,0,16,23.0
Team_08,MID,Round_06,8,0,9,17.0
Team_08,MID,Round_07,11,5,14,5.0
Team_08,MID,Round_08,4,9,3,0.78
Team_08,MID,Round_09,12,2,23,17.5
Team_09,JGL,Round_01,8,7,9,2.43
Team_09,JGL,Round_02,3,6,19,3.67
Team_09,JGL,Round_03,3,8,15,2.25
Team_09,JGL,Round_04,5,5,11,3.2
Team_09,JGL,Round_05,10,10,6,1.6
Team_09,JGL,Round_06,9,1,16,25.0
Team_09,JGL,Round_07,4,4,19,5.75
Team_09,JGL,Round_08,8,3,20,9.33
Team_09,JGL,Round_09,3,2,15,9.0
Team_09,ADC,Round_01,9,6,9,3.0
Team_09,ADC,Round_02,7,4,15,5.5
Team_09,ADC,Round_03,6,5,15,4.2
Team_09,ADC,Round_04,5,3,14,6.33
Team_09,ADC,Round_05,2,4,12,3.5
Team_09,ADC,Round_06,17,4,19,9.0
Team_09,ADC,Round_07,15,0,13,28.0
Team_09,ADC,Round_08,10,1,20,30.0
Team_09,ADC,Round_09,14,1,12,26.0
Team_09,MID,Round_01,4,6,5,1.5
Team_09,MID,Round_02,6,2,18,12.0
Team_09,MID,Round_03,5,2,16,10.5
Team_09,MID,Round_04,5,4,10,3.75
Team_09,MID,Round_05,4,4,13,4.25
Team_09,MID,Round_06,7,2,26,16.5
Team_09,MID,Round_07,9,1,18,27.0
Team_09,MID,Round_08,3,0,23,26.0
Team_09,MID,Round_09,4,3,16,6.67
Team_09,TOP,Round_01,1,8,8,1.12
Team_09,TOP,Round_02,14,4,12,6.5
Team_09,TOP,Round_03,12,5,8,4.0
Team_09,TOP,Round_04,6,7,11,2.43
Team_09,TOP,Round_05,4,7,3,1.0
Team_09,TOP,Round_06,12,5,19,6.2
Team_09,TOP,Round_07,9,1,11,20.0
Team_09,TOP,Round_08,11,4,12,5.75
Team_09,TOP,Round_09,5,3,13,6.0
Team_09,SUP,Round_01,0,8,20,2.5
Team_09,SUP,Round_02,3,6,24,4.5
Team_09,SUP,Round_03,2,5,18,4.0
Team_09,SUP,Round_04,1,5,15,3.2
Team_09,SUP,Round_05,1,11,15,1.45
Team_09,SUP,Round_06,3,4,33,9.0
Team_09,SUP,Round_07,2,1,30,32.0
Team_09,SUP,Round_08,2,6,26,4.67
Team_09,SUP,Round_09,1,2,22,11.5
Team_10,JGL,Round_01,11,2,11,11.0
Team_10,JGL,Round_02,10,1,13,23.0
Team_10,JGL,Round_03,4,8,13,2.12
Team_10,JGL,Round_04,8,4,14,5.5
Team_10,JGL,Round_05,9,3,20,9.67
Team_10,JGL,Round_06,8,9,30,4.22
Team_10,JGL,Round_07,5,5,19,4.8
Team_10,JGL,Round_08,8,3,24,10.67
Team_10,JGL,Round_09,2,4,20,5.5
Team_10,TOP,Round_01,2,7,17,2.71
Team_10,TOP,Round_02,2,2,14,8.0
Team_10,TOP,Round_03,3,8,9,1.5
Team_10,TOP,Round_04,6,10,20,2.6
Team_10,TOP,Round_05,10,7,15,3.57
Team_10,TOP,Round_06,12,10,14,2.6
Team_10,TOP,Round_07,5,12,11,1.33
Team_10,TOP,Round_08,9,4,9,4.5
Team_10,TOP,Round_09,12,4,17,7.25
Team_10,MID,Round_01,2,4,19,5.25
Team_10,MID,Round_02,9,2,9,9.0
Team_10,MID,Round_03,6,6,14,3.33
Team_10,MID,Round_04,8,2,9,8.5
Team_10,MID,Round_05,8,4,15,5.75
Team_10,MID,Round_06,12,8,19,3.88
Team_10,MID,Round_07,1,6,11,2.0
Team_10,MID,Round_08,10,2,7,8.5
Team_10,MID,Round_09,10,1,12,22.0
Team_10,SUP,Round_01,1,5,21,4.4
Team_10,SUP,Round_02,3,3,29,10.67
Team_10,SUP,Round_03,0,6,16,2.67
Team_10,SUP,Round_04,2,5,18,4.0
Team_10,SUP,Round_05,2,8,30,4.0
Team_10,SUP,Round_06,2,6,31,5.5
Team_10,SUP,Round_07,2,10,20,2.2
Team_10,SUP,Round_08,4,3,33,12.33
Team_10,SUP,Round_09,2,5,36,7.6
Team_10,ADC,Round_01,10,1,9,19.0
Team_10,ADC,Round_02,10,3,17,9.0
Team_10,ADC,Round_03,12,4,11,5.75
Team_10,ADC,Round_04,7,4,6,3.25
Team_10,ADC,Round_05,15,4,20,8.75
Team_10,ADC,Round_06,15,7,15,4.29
Team_10,ADC,Round_07,20,4,7,6.75
Team_10,ADC,Round_08,18,4,13,7.75
Team_10,ADC,Round_09,23,2,12,17.5
